Systematic Name,TPM Glucose,TPM YEP,TPM Galactose,TPM Glucose_2,TPM YEP_2,TPM Galactose_2
YNL236W,8.705,5.40052,5.96885,9.98091,6.40914,8.10874
YNL237W,3.94276,11.8086,5.8381,4.10503,13.5267,14.5994
YNL238W,17.8823,10.9999,12.0679,18.8652,11.648,14.825
YNL239W,38.8899,70.4197,120.267,39.898,82.9398,193.139
YNL240C,21.9255,25.639,24.4635,18.9663,22.1089,25.3791
YNL241C,69.3851,126.508,84.3856,84.8001,108.957,163.578
YNL242W,2.14881,2.72995,2.19951,2.36682,3.1289,2.87643
YNL243W,18.3587,20.2871,17.6442,20.8661,24.8108,21.6886
YNL244C,945.25,539.907,664.647,885.677,428.148,616.671
YNL245C,30.033,26.9746,27.3194,25.5213,23.7378,28.3563
YNL246W,44.4633,39.835,37.5445,38.7835,39.6369,38.1579
YNL247W,48.835,31.4761,34.5116,57.1558,33.1641,44.494
YNL248C,116.38,56.4144,67.902,103.557,46.8959,72.4524
YNL249C,5.14837,4.75959,4.5969,5.27723,5.25833,5.35236
YNL250W,3.22758,3.44948,2.52654,3.50475,3.94766,3.69413
YNL251C,29.0412,13.2384,17.6433,26.6625,15.0288,15.5217
YNL252C,31.462,65.5924,61.8125,26.8712,89.1142,61.5976
YNL253W,9.3651,11.067,9.47129,9.34767,12.5342,12.003
YNL254C,9.9144,7.81187,6.47422,9.75107,9.23523,9.48899
YNL255C,474.037,381.882,363.369,454.688,312.741,376.298
YNL256W,23.1033,11.2584,14.1494,22.5061,10.1553,18.4073
YNL257C,5.64902,5.55644,4.40472,5.33303,6.723,6.259
YNL258C,10.1965,9.84232,8.83166,9.8526,11.1953,11.9438
YNL259C,164.882,227.612,204.447,147.856,209.071,321.943
YNL260C,17.4878,10.652,12.7333,16.1684,11.2128,13.6866
YNL261W,13.3688,8.78159,8.18692,12.4866,8.96139,9.33113
YNL262W,4.55516,5.10606,4.65787,4.58007,5.56248,6.11915
YNL263C,23.4942,26.1356,20.0602,27.2735,28.2617,27.1027
YNL264C,18.4594,10.0568,11.7083,20.8713,10.7928,16.9957
YNL265C,14.0651,22.9744,17.8401,18.4408,30.2398,25.6364
YNL266W,16.29,30.259,21.2759,12.0569,25.1864,20.4241
YNL267W,9.95812,9.5005,9.34066,11.0596,12.0387,12.1626
YNL268W,48.0894,57.5338,47.6451,54.3868,50.4153,61.9963
YNL269W,0.715457,1.55789,0.911247,0.18933,1.49661,1.23916
